D.O. 2 ;18 - TPO2;D.O. 3 ;D.O. 4 ;D.O. 5 ;D.O. 6 ;D.O. 7 ;D.O. 8 ;19 - TPVA;D.O. 9 ;37 - Densidade ÃÂ³tica;D.O. 10 ;32 - Retirada de aluminio;D.O. 11 ;74 - AdesÃÂ£o ao metal, 160ÃÂ°C;66 - Densidade ÃÂ³tica (X-RITE);75 - AdesÃÂ£o ao metal, 100ÃÂ°C;Situação;Dt ProduÃ§Ã£o;Hora Final;Pinholes P;Pinholes M;Pinholes G;ArranhÃÂ£o ;Desvio PadrÃÂ£o D.O. ;Media D.O.;D.O. 1 ;ID;DateTime;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;DepositEndTime;Time;DepositStartTime;TotalTime;WarmupTime;CoatingTime;FilmInSpec;ChillDown;PumpdownTime;VentingTime;CycleStartTime;FilmProcessed;FilmMetallised;MechOpenTime;Length;Boatlife;FirstProbe;LastProbe;Weight;WebThickness;WebWidth;TargetNumber;UpperLimit;LowerLimit;WebSpeed;WireSpeed;UnwSetTension;RewSetTension;Source ID;Selected (2);Bobina ;Campanha;Hora Inicio;Maquina;Origem;Selected;Selected.1;Fingerprint;RollID;Shift;Operator;Customer;BarCode;Selected (1);Selected (3)
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 02:35;;;;;;;;;17/02/2020 03:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 02:55;22/05/2020 02:55;17/02/2020 01:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 05:38;;;;;;;;;17/02/2020 05:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 05:49;22/05/2020 05:49;17/02/2020 04:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 08:58;;;;;;;;;18/02/2020 09:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 08:55;22/05/2020 08:55;18/02/2020 06:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 13:14;;;;;;;;;18/02/2020 13:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 13:13;22/05/2020 13:13;18/02/2020 11:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 16:05;;;;;;;;;18/02/2020 16:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 16:05;22/05/2020 16:05;18/02/2020 14:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 18:50;;;;;;;;;18/02/2020 19:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 18:50;22/05/2020 18:50;18/02/2020 16:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;18/02/2020 00:00;22/05/2020 21:48;;;;;;;;;18/02/2020 21:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 21:49;22/05/2020 21:49;18/02/2020 19:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;19/02/2020 00:00;22/05/2020 07:08;;;;;;;;;19/02/2020 07:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 07:08;22/05/2020 07:08;19/02/2020 06:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;19/02/2020 00:00;22/05/2020 09:43;;;;;;;;;19/02/2020 09:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 09:42;22/05/2020 09:42;19/02/2020 07:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;19/02/2020 00:00;22/05/2020 12:25;;;;;;;;;19/02/2020 12:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 12:24;22/05/2020 12:24;19/02/2020 10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
