ID;DateTime;Length;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;Fingerprint
42;38:16.0;4708;0;3.36;4.67;4.68;4.56;4.64;4.62;4.65;4.66;4.63;4.65;4.67;4.63;4.7;4.59;4.65;4.7;4.58;4.63;4.67;4.67;4.61;4.6;0;1;1;1;1;1;1;013245d1628f9dfd4cb9e3ddea8f63f9a2
43;40:16.0;5368;0;3.34;4.66;4.71;4.57;4.65;4.64;4.64;4.62;4.61;4.65;4.67;4.62;4.65;4.54;4.62;4.69;4.57;4.6;4.64;4.63;4.56;4.55;0;1;1;1;1;1;1;01de4c3c2799e172819342d202fb989ed0
44;42:16.0;6033;0;3.34;4.68;4.67;4.52;4.65;4.64;4.62;4.65;4.58;4.62;4.63;4.59;4.64;4.58;4.64;4.69;4.58;4.64;4.68;4.67;4.61;4.6;0;1;1;1;1;1;1;0108a5100215707da6aa705b893f08e98e
45;44:16.0;6688;0;3.3;4.69;4.67;4.51;4.66;4.64;4.62;4.63;4.58;4.63;4.62;4.58;4.65;4.61;4.67;4.65;4.53;4.56;4.6;4.65;4.56;4.57;0;1;1;1;1;1;1;011c2eda78dc241c6963479663a56bde05
46;46:16.0;7348;0;3.31;4.68;4.7;4.56;4.68;4.65;4.65;4.65;4.6;4.61;4.61;4.58;4.63;4.56;4.62;4.64;4.58;4.67;4.83;4.94;4.77;4.67;0;1;1;1;1;1;1;01a91215a495a2f4abee6ecce5ffa136d3
47;48:16.0;8008;0;3.37;4.66;4.7;4.59;4.67;4.65;4.64;4.63;4.58;4.63;4.62;4.61;4.66;4.6;4.63;4.63;4.58;4.63;4.61;4.67;4.64;4.69;0;1;1;1;1;1;1;01b050b28a8e8a34a9f41ae7c35e81610f
48;50:16.0;8673;0;3.38;4.62;4.61;4.54;4.66;4.65;4.63;4.61;4.57;4.61;4.61;4.6;4.65;4.59;4.61;4.6;4.57;4.62;4.6;4.66;4.58;4.62;0;1;1;1;1;1;1;0180756a88955898a8bcd3166d97551294
49;52:16.0;9328;0;3.37;4.61;4.65;4.53;4.64;4.64;4.65;4.65;4.6;4.61;4.61;4.61;4.63;4.6;4.61;4.68;4.56;4.58;4.56;4.63;4.59;4.62;0;1;1;1;1;1;1;011530e306b164bb20f247dc5f87d3035f
50;54:16.0;9988;0;3.38;4.63;4.68;4.56;4.6;4.61;4.63;4.66;4.63;4.66;4.66;4.65;4.65;4.62;4.64;4.66;4.6;4.62;4.55;4.64;4.6;4.65;0;1;1;1;1;1;1;01263510228e9c96b0b787fc48db208f08
51;56:17.0;10510;0;3.39;4.65;4.68;4.6;4.65;4.62;4.61;4.63;4.59;4.63;4.61;4.61;4.61;4.58;4.62;4.67;4.61;4.59;4.58;4.64;4.58;4.61;0;1;1;1;1;1;1;0134ef90a088e2c29260a9aa8ef71e45f2
52;58:16.0;11308;0;3.36;4.61;4.65;4.6;4.65;4.64;4.6;4.58;4.56;4.62;4.62;4.61;4.61;4.56;4.59;4.65;4.61;4.61;4.59;4.65;4.6;4.66;0;1;1;1;1;1;1;01e9b686f07652ae8395363a0fc498f2e0
53;00:16.0;11968;0;3.4;4.6;4.63;4.57;4.65;4.63;4.63;4.6;4.58;4.68;4.66;4.62;4.63;4.56;4.6;4.65;4.6;4.6;4.58;4.63;4.6;4.62;0;1;1;1;1;1;1;01ce2f2696207d4fe4905a078d810a2546
54;02:16.0;12633;0;3.41;4.6;4.65;4.57;4.65;4.62;4.62;4.64;4.58;4.64;4.63;4.61;4.64;4.59;4.65;4.7;4.61;4.61;4.61;4.65;4.63;4.66;0;1;1;1;1;1;1;01ba314dc2bac0ef15819491089d3bc5e4
55;04:16.0;13293;0;3.37;4.61;4.62;4.6;4.65;4.64;4.6;4.57;4.55;4.64;4.66;4.64;4.68;4.63;4.63;4.69;4.6;4.6;4.62;4.64;4.59;4.58;0;1;1;1;1;1;1;0166f5e7a29835b7aa9bab529f384ed452
56;06:16.0;13953;0;3.39;4.6;4.61;4.58;4.63;4.61;4.6;4.59;4.55;4.61;4.62;4.58;4.63;4.6;4.6;4.7;4.6;4.61;4.62;4.66;4.6;4.62;0;1;1;1;1;1;1;013f12fc4b21edc7d2869b05249c0a237e
57;08:16.0;14608;0;3.38;4.65;4.64;4.61;4.65;4.64;4.65;4.66;4.62;4.65;4.65;4.64;4.67;4.63;4.63;4.69;4.61;4.61;4.61;4.67;4.64;4.65;0;1;1;1;1;1;1;0170f562c323f8e260ada28ba209202c7b
58;10:16.0;15273;0;3.37;4.61;4.63;4.6;4.61;4.59;4.62;4.65;4.64;4.68;4.68;4.66;4.68;4.63;4.62;4.64;4.61;4.63;4.64;4.68;4.63;4.64;0;1;1;1;1;1;1;014e9a55d9057ea50dce736a4c134c1e5b
59;12:16.0;15928;0;3.38;4.64;4.65;4.64;4.65;4.62;4.67;4.65;4.61;4.63;4.63;4.61;4.65;4.64;4.66;4.71;4.63;4.63;4.63;4.67;4.6;4.6;0;1;1;1;1;1;1;01ab55f560f95b04564a2be33eb45ee176
60;14:16.0;16588;0;3.36;4.61;4.61;4.59;4.62;4.6;4.61;4.62;4.62;4.64;4.64;4.62;4.63;4.59;4.61;4.66;4.59;4.6;4.59;4.67;4.65;4.67;0;1;1;1;1;1;1;0121fb2a0b035b684b3f17761d5311e9ae
61;16:16.0;17248;0;3.38;4.63;4.62;4.59;4.61;4.65;4.64;4.65;4.61;4.62;4.64;4.62;4.63;4.61;4.61;4.66;4.58;4.61;4.62;4.68;4.62;4.62;0;1;1;1;1;1;1;016d1ae7841e3bf4fb9121aaa3b0ddd390
62;18:16.0;17908;0;3.39;4.61;4.59;4.59;4.6;4.61;4.62;4.62;4.59;4.63;4.6;4.58;4.65;4.64;4.61;4.65;4.6;4.61;4.61;4.66;4.63;4.64;0;1;1;1;1;1;1;01676d7242b3248c4fe90280e8df6995e9
63;20:16.0;18568;0;3.43;4.64;4.61;4.62;4.61;4.62;4.65;4.64;4.63;4.67;4.64;4.59;4.64;4.63;4.63;4.69;4.6;4.61;4.56;4.62;4.61;4.66;0;1;1;1;1;1;1;011460f875c933f380e7f9dfb320ef6de6
64;22:16.0;19228;0;3.35;4.62;4.63;4.61;4.62;4.6;4.63;4.61;4.58;4.61;4.62;4.61;4.63;4.6;4.61;4.65;4.62;4.62;4.61;4.67;4.61;4.64;0;1;1;1;1;1;1;0101a7d0e3c443ce2142156e9dd3b50a4e
65;24:16.0;19893;0;3.43;4.64;4.62;4.58;4.61;4.59;4.61;4.59;4.58;4.62;4.65;4.62;4.65;4.62;4.61;4.64;4.64;4.63;4.63;4.69;4.64;4.68;0;1;1;1;1;1;1;015af2c3b357c8e8b496a16a7ebd7034f4
66;26:16.0;20548;0;3.42;4.65;4.68;4.67;4.64;4.6;4.63;4.62;4.59;4.61;4.62;4.58;4.62;4.61;4.64;4.69;4.63;4.62;4.61;4.69;4.67;4.71;0;1;1;1;1;1;1;01725f23b15f8288bb75099e5c0e5322ed
67;28:16.0;21208;0;3.38;4.59;4.65;4.64;4.64;4.61;4.64;4.63;4.59;4.61;4.64;4.59;4.62;4.6;4.62;4.66;4.61;4.62;4.62;4.66;4.63;4.64;0;1;1;1;1;1;1;0164a1e70e41cac426b478405b5933fbae
